__row,name,ra_1,dec_1,lii,bii,position_flag,radio_detect,flux_6_cm,ref_flux_6_cm,flux_20_cm,ref_flux_20_cm,redshift_flag,redshift,object_type,app_mag_flag,app_mag,bv_color,ub_color,abs_mag,ref_chart,ref_app_mag,ref_redshift,broad_type,class,__x_ra_dec,__y_ra_dec,__z_ra_dec,ra_2,dec_2,plate,mjd,fiberID,Separation
55594,SDSS J00062+0036,1.57416667,0.60666667,99.73196176,-60.21587106,O,N,,,,,,0.236,S1,V,18.54,0.71,0.21,-20.9,,873,873,AGN,7104,0.0274693951188719,0.999566567953946,0.0105881330069035,1.574133,0.606684,1490,52994,472,0.13631934676708857
22914,SDSS J00063-1006,1.57625,-10.10166667,88.79741363,-69.9233012,O,N,,,,,,0.719,Q,V,18.56,0.19,-0.53,-23.9,,3,3,QSO,7200,0.0270808665180691,0.984125547334664,-0.17539536411171,1.5761651,-10.101826,651,52141,222,0.6477230566249236
46917,3C   2.0,1.59416667,-0.07361111,99.28061376,-60.85922228,O,Y,1450.0,2103,3879.0,2530,,1.037,Q,V,19.35,0.79,-0.96,-23.5,1977,1963,1391,QSO,7200,0.0278198444989709,0.999612127604691,-0.00128475588211161,1.5941697,-0.073471038,686,52519,238,0.5043771654749929
88899,SDSS J00063+1447,1.59833333,14.78611111,106.95624235,-46.68363623,O,N,,,,,,1.129,Q,V,19.44,0.33,-0.69,-24.0,,3,3,QSO,7200,0.0269689068765155,0.966509092877152,0.255211385811196,1.5982313,14.786324,751,52251,190,0.8446909049236775
91013,SDSS J00064+1546,1.60541667,15.77388889,107.32416321,-45.72921248,O,N,,,,,,1.52,AG,V,21.81,1.58,-0.02,-21.0,,2068,2068,AGN,7000,0.0269611080448104,0.961964231244622,0.27184171213951,1.6052366,15.773846,751,52251,500,0.6426641137818703
91656,SDSS J00064+1606,1.6125,16.10027778,107.44924505,-45.41471349,O,N,,,,,,1.678,Q,V,19.29,0.16,-0.72,-25.1,,3,3,QSO,7200,0.0270360177338261,0.960397341370347,0.277319311325167,1.6126515,16.100243,751,52251,529,0.5387594113069395
23413,SDSS J00064-0935,1.62208333,-9.59722222,89.6396892,-69.50947103,O,N,,,,,,1.758,Q,V,18.86,0.17,-0.69,-25.7,,3,3,QSO,7200,0.0279107330571578,0.985609008581464,-0.166720944045059,1.6220482,-9.5974803,651,52141,429,0.937418840976606
49455,SDSS J00065+0007,1.63458333,0.11888889,99.49815601,-60.6936636,O,N,,,,2068,,0.917,Q,V,20.28,0.36,-0.46,-22.7,,2068,2068,QSO,7200,0.0285249298345575,0.999590927704143,0.00207500108550749,1.6346679,0.11873673,686,52519,480,0.6266970303881997
22290,SDSS J00065-1102,1.645,-11.04527778,87.52083886,-70.76632207,O,N,,,,,,0.228,S1,V,19.63,0.5,-0.36,-20.0,,3,3,AGN,7104,0.0281749612695131,0.981071602106002,-0.191584663004699,1.6449815,-11.0456,651,52141,244,1.161832255347431
40349,BG CFH 20,1.65,-0.55555556,99.03066662,-61.32910714,,N,,,,,E,2.24,Q,V,21.4,,,-23.8,799,,799,QSO,7200,0.02879259880794,0.99953837919143,-0.00969612176354494,1.65023020000001,-0.55345724,4217,55478,322,7.59926992106109
43669,SDSS J00066-0018,1.65791667,-0.31166667,99.22795229,-61.10433838,O,N,,,,2068,,0.989,Q,V,19.51,0.28,-0.79,-23.7,,2068,2068,QSO,7200,0.0289316387202692,0.999566591688935,-0.0054395827345125,1.65787499999999,-0.311782,9403,58018,97,0.44145669027918705
54056,SDSS J00066+0028,1.66333333,0.4725,99.80571773,-60.3727622,O,N,,,,2068,,2.201,Q,V,19.54,0.21,-0.48,-25.4,,2068,2068,QSO,7200,0.0290255785960731,0.999544651121703,0.00824658724296751,1.66320949999999,0.47251754,7862,56984,725,0.4502228232167683
87854,SDSS J00066+1421,1.66333333,14.36555556,106.88920701,-47.10639628,O,N,,,,,,1.392,Q,V,18.58,0.41,-0.55,-25.3,,3,3,QSO,7200,0.028118977196553,0.968324306052944,0.248107560200217,1.6633561,14.365626,751,52251,181,0.26572659403486276
57391,SDSS J00066+0047,1.66875,0.78527778,100.03510113,-60.08141091,O,N,,,,2068,,1.847,Q,V,19.94,0.15,-0.78,-24.7,,2068,2068,QSO,7200,0.0291183292762866,0.999482010303714,0.0137052537154245,1.668651,0.78532358,686,52519,411,0.3926608131145294
55995,SDSS J00066+0038,1.66958333,0.64388889,99.93810889,-60.21430426,O,N,,,,2068,,1.338,Q,V,20.32,0.43,-0.69,-23.4,,2068,2068,QSO,7200,0.029133762767623,0.999512349580141,0.0112377446040735,1.6694982,0.64395495,1090,52903,466,0.38790104725841973
51038,SDSS J00067+0014,1.67625,0.23888889,99.66403791,-60.5960759,O,N,,,,,,0.188,S1,V,19.05,0.61,-0.39,-20.0,,3,3,AGN,7104,0.0292516540404222,0.999563383162691,0.00416938559689567,1.676166,0.23868293,388,51793,439,0.8007503803517307
66372,PB 5737,1.68125,2.7875,101.37300602,-58.20031448,,N,,,,,E,2.35,Q,V,19.0,,,-26.4,2672,,2672,QSO,7200,0.02930442238322,0.998386795153008,0.0486318629387318,1.68183900000002,2.78723,9439,58015,937,2.3302891796558955
49237,SDSS J00067+0006,1.68916667,0.10416667,99.59190149,-60.72671922,O,N,,,,2068,,1.031,Q,V,19.96,0.38,-0.39,-23.3,,2068,2068,QSO,7200,0.0294772007832233,0.99956379952801,0.00181805036080111,1.68923599999999,0.103866,9403,58018,64,1.1108148820402874
24250,SDSS J00067-0853,1.68958333,-8.88972222,90.77560511,-68.92417357,O,N,,,,,,1.406,Q,V,19.52,0.32,-0.82,-24.4,,3,3,QSO,7200,0.0291303386565783,0.987558061615994,-0.154533162483052,1.6895059,-8.8898664,651,52141,364,0.5875846479924931
48092,SDSS J00067+0000,1.68958333,0.01666667,99.52944276,-60.80873181,O,N,,,,2068,,1.516,Q,V,18.83,0.22,-0.5,-25.4,,2068,2068,QSO,7200,0.0294845171795203,0.999565194787568,2.90888262741064E-4,1.68945500000001,0.016558979,9403,58018,66,0.6031041115443339
37239,SDSS J00067-0048,1.69125,-0.81083333,98.9180722,-61.58203685,O,N,,,,2068,,1.998,Q,V,19.88,0.24,-0.8,-24.8,,2068,2068,QSO,7200,0.029510639338512,0.999464288807972,-0.0141512389354034,1.6916149,-0.81117911,686,52519,202,1.8096550181207876
23319,SDSS J00068-0940,1.70291667,-9.67666667,89.72539497,-69.61794594,O,N,,,,,,1.835,Q,V,19.65,0.31,-0.75,-24.8,,3,3,QSO,7200,0.0292943119561879,0.98533663600568,-0.168087944338739,1.70307980000001,-9.6769303,7168,56625,779,1.1116965944713868
105670,CGRaBS J0006+2422,1.70333333,24.37666667,110.11774629,-37.38220552,O,Y,189.0,883,178.0,483,,1.684,Q,R,18.71,,,-25.4,,,988,QSO,7200,0.0270745201867783,0.910449343550517,0.412733525637411,1.70330109999998,24.376779,7665,57328,882,0.41796987816376
56125,SDSS J00068+0039,1.70541667,0.65694444,100.01487684,-60.21449861,O,N,,,,2068,,1.588,Q,V,19.85,0.19,-0.55,-24.5,,2068,2068,QSO,7200,0.0297587848332146,0.999491348096366,0.0114655922550532,1.7054878,0.6570567,686,52519,470,0.4784225179898593
48214,SDSS J00068+0001,1.72208333,0.02694444,99.59922941,-60.81058799,O,N,,,,2068,,1.942,Q,V,20.52,0.26,-0.45,-24.1,,2068,2068,QSO,7200,0.0300514957256545,0.999548241182762,4.70269175772478E-4,1.7221332,0.026578832,1090,52903,145,1.3283767120955083
44405,PB 5739,1.72541667,-0.25944444,99.39692804,-61.07961848,O,N,,,,,,1.72,Q,V,18.51,0.24,-0.72,-25.9,2673,3,2343,QSO,7200,0.030109341792883,0.999536354239622,-0.00452814422960384,1.72545300000002,-0.259286,4217,55478,290,0.5851863445950033
